,County,State,City,Pollutant,Date,total_population,cumulative_cases,cumulative_deaths,new_cases,new_deaths
103,Russell,Alabama,Phenix City,4.1,2020-02-06,58213.0,0,0,0.0,0.0
104,Russell,Alabama,Phenix City,4.1,2020-02-06,58213.0,0,0,0.0,0.0
105,Russell,Alabama,Phenix City,3.7,2020-02-06,58213.0,0,0,0.0,0.0
106,Russell,Alabama,Phenix City,5.2,2020-02-09,58213.0,0,0,0.0,0.0
107,Russell,Alabama,Phenix City,5.2,2020-02-09,58213.0,0,0,0.0,0.0
108,Russell,Alabama,Phenix City,5.2,2020-02-09,58213.0,0,0,0.0,0.0
109,Russell,Alabama,Phenix City,5.4,2020-02-12,58213.0,0,0,0.0,0.0
110,Russell,Alabama,Phenix City,5.5,2020-02-12,58213.0,0,0,0.0,0.0
111,Russell,Alabama,Phenix City,5.1,2020-02-12,58213.0,0,0,0.0,0.0
112,Russell,Alabama,Phenix City,8.2,2020-02-15,58213.0,0,0,0.0,0.0
113,Russell,Alabama,Phenix City,8.1,2020-02-15,58213.0,0,0,0.0,0.0
114,Russell,Alabama,Phenix City,7.4,2020-02-15,58213.0,0,0,0.0,0.0
115,Russell,Alabama,Phenix City,6.4,2020-02-18,58213.0,0,0,0.0,0.0
116,Russell,Alabama,Phenix City,6.3,2020-02-18,58213.0,0,0,0.0,0.0
117,Russell,Alabama,Phenix City,6.3,2020-02-18,58213.0,0,0,0.0,0.0
118,Russell,Alabama,Phenix City,5.4,2020-02-21,58213.0,0,0,0.0,0.0
119,Russell,Alabama,Phenix City,5.2,2020-02-21,58213.0,0,0,0.0,0.0
120,Russell,Alabama,Phenix City,5.8,2020-02-21,58213.0,0,0,0.0,0.0
121,Russell,Alabama,Phenix City,11.3,2020-02-24,58213.0,0,0,0.0,0.0
122,Russell,Alabama,Phenix City,11.2,2020-02-24,58213.0,0,0,0.0,0.0
123,Russell,Alabama,Phenix City,11.7,2020-02-24,58213.0,0,0,0.0,0.0
124,Russell,Alabama,Phenix City,4.6,2020-02-27,58213.0,0,0,0.0,0.0
125,Russell,Alabama,Phenix City,4.8,2020-02-27,58213.0,0,0,0.0,0.0
126,Russell,Alabama,Phenix City,4.1,2020-02-27,58213.0,0,0,0.0,0.0
127,Russell,Alabama,Phenix City,7.9,2020-01-23,58213.0,0,0,0.0,0.0
128,Russell,Alabama,Phenix City,6.7,2020-01-24,58213.0,0,0,0.0,0.0
129,Russell,Alabama,Phenix City,9.2,2020-01-26,58213.0,0,0,0.0,0.0
130,Russell,Alabama,Phenix City,6.2,2020-01-27,58213.0,0,0,0.0,0.0
