,County,State,City,Pollutant,Date
449,Santa Cruz,Arizona,Nogales,9.3,2020-01-29
450,Santa Cruz,Arizona,Nogales,2.9,2020-01-30
451,Santa Cruz,Arizona,Nogales,4.7,2020-01-31
452,Santa Cruz,Arizona,Nogales,17.5,2020-02-01
453,Santa Cruz,Arizona,Nogales,22.5,2020-02-02
454,Santa Cruz,Arizona,Nogales,3.0,2020-02-03
455,Santa Cruz,Arizona,Nogales,2.0,2020-02-04
456,Santa Cruz,Arizona,Nogales,5.3,2020-02-05
457,Santa Cruz,Arizona,Nogales,10.9,2020-02-06
458,Santa Cruz,Arizona,Nogales,14.6,2020-02-07
459,Santa Cruz,Arizona,Nogales,17.3,2020-02-08
460,Santa Cruz,Arizona,Nogales,4.9,2020-02-09
461,Santa Cruz,Arizona,Nogales,1.0,2020-02-10
462,Santa Cruz,Arizona,Nogales,3.8,2020-02-11
463,Santa Cruz,Arizona,Nogales,9.4,2020-02-12
464,Santa Cruz,Arizona,Nogales,13.6,2020-02-13
465,Santa Cruz,Arizona,Nogales,17.5,2020-02-14
466,Santa Cruz,Arizona,Nogales,16.0,2020-02-15
467,Santa Cruz,Arizona,Nogales,19.5,2020-02-16
468,Santa Cruz,Arizona,Nogales,9.6,2020-02-17
469,Santa Cruz,Arizona,Nogales,12.8,2020-02-18
